,avg_log2FC,p_val_adj
H2BC4,3.732305,4.898686219697725e-19
PLCB4,4.8910685,5.966845209514365e-19
ALCAM,1.6116347,6.348797675477133e-19
TPM3,0.7669753,6.348797675477133e-19
TLE3,1.2598658,7.266283087579076e-19
SUCO,0.8362194,8.608042585994885e-19
KCTD9,1.2298498,8.725588562220318e-19
TESC,2.630117,1.0342957919708748e-18
ATP2B4,1.4991382,1.0451861517150169e-18
PPM1L,3.2342558,1.1379826406741855e-18
PACSIN2,1.1060063,1.1445574449675508e-18
RYBP,0.8600727,1.2872707346454647e-18
BTBD1,0.9866517,1.3044664479571975e-18
RAP1GDS1,1.0026568,1.6627641339663761e-18
PRMT9,1.6068498,1.7335226592306586e-18
MAP2K4,1.0824224,1.9158212441091418e-18
SATB1,0.93175197,2.0939363126046783e-18
IFNAR2,1.92664,2.224702629686636e-18
PACS2,2.5090964,2.248461209257674e-18
ENO1,1.2987267,2.334249583249014e-18
ZNF706,1.3682675,2.4471109418781963e-18
TARDBP,1.1689239,2.4732226548346724e-18
GABPB1,1.0884885,2.4850946325619e-18
MTHFD2L,2.6076145,2.6752419877003783e-18
DDX60L,1.8750026,2.835217657505855e-18
RC3H1,0.92109925,2.8727694694627553e-18
MACO1,0.7664994,2.9931819810656484e-18
LEF1,2.593462,3.0504817170703486e-18
KIZ,2.2656868,3.3792113738085005e-18
ALPK1,3.319608,3.631387012954125e-18
RSL24D1,0.84506935,3.631387012954125e-18
PAIP1,1.3045094,3.664032327513907e-18
VAMP8,1.5545304,4.2416729326270105e-18
NORAD,1.1042981,4.514746753123549e-18
JUP,4.166909,5.001184011834827e-18
ERG,4.4626184,5.233536600719658e-18
BACH1,1.1457676,5.426222912191203e-18
TMEM131,1.1537328,5.631112531748624e-18
SP3,0.8223313,6.99547441999331e-18
SMARCA4,1.846893,7.11823782886442e-18
SETD5,1.222987,7.140571213844819e-18
CD82,2.3999608,7.279246741601746e-18
DENND1B,0.8337075,8.213183295163373e-18
SERPINB1,1.6005683,1.1510187043802123e-17
PCMTD1,1.0086466,1.2087001178316173e-17
GORASP2,1.2489856,1.2827564630634453e-17
SSBP3,2.0011866,1.2944227753860315e-17
ATL2,1.0855497,1.3461557239247474e-17
