,avg_log2FC,p_val_adj
TMEM165,1.4284898,2.327332144379154e-28
FXR1,1.265358,2.4753344729151293e-28
MAPK14,1.3099552,2.5070199932685244e-28
ZNF107,1.6206597,2.741576810748368e-28
PSMD1,1.64833,2.868084236790281e-28
PRKDC,1.1556813,3.2726786534017584e-28
PEBP1,1.1505613,3.285128035683856e-28
TFPI,3.6936357,3.394155870182523e-28
USP22,1.5634835,3.960899283160657e-28
CBFA2T3,4.181196,5.807457637019479e-28
DCAF7,1.7758071,6.733140534059881e-28
FGFR1,2.0272853,6.93487632854392e-28
RCN2,1.5395297,7.602818313538899e-28
CCNC,1.7563397,7.8535112183546785e-28
CDK12,1.3176128,8.30608308936595e-28
TRIM33,1.218476,9.317454978436405e-28
PICALM,1.2168939,9.611392360766459e-28
EWSR1,1.2197803,1.0837331955149894e-27
DDX17,0.9419545,1.0962955872013491e-27
ILF3,1.1444387,1.4406885604654429e-27
MAPKAPK3,2.2961445,1.5887553225624032e-27
ANP32A,1.3826871,1.599441835935528e-27
PLCB4,3.6301718,1.635264600755303e-27
ZNF43,1.8726243,1.7994092931170143e-27
ZRANB2,1.1866329,1.90187312400645e-27
ASH1L,1.0000157,1.903489723867383e-27
UBE2K,1.1615046,2.0860002041230095e-27
HSPD1,1.1323814,2.1366072546118264e-27
PLIN3,2.427071,2.3473742228982975e-27
NLK,1.6696609,2.7694549144745978e-27
SUGP2,1.5191382,3.1747915272480902e-27
PAWR,2.5875845,3.259518772295412e-27
LCORL,1.5096954,3.304038242204592e-27
FANCL,2.6171453,3.438093226841822e-27
TASOR2,1.1701467,3.451079768887912e-27
FAR1,1.4079319,3.792171881855218e-27
RRAS2,1.3467152,3.885820250912432e-27
KBTBD12,3.9937449,4.046492600287566e-27
NIN,1.1001238,4.222673373440471e-27
MYO9A,1.3171213,4.376305051393569e-27
SYNCRIP,1.1827904,4.431290502391829e-27
MAPKBP1,1.7244114,4.5012093608913426e-27
LINC01572,2.7554698,4.792218973319448e-27
GRAMD1B,1.8746207,4.996643446417906e-27
TARBP1,1.7285836,5.004942122225227e-27
CEP83,1.6801456,7.747446115477304e-27
