,avg_log2FC,p_val_adj
ZBTB16,1.9829446,2.7156649076199815e-24
CD38,1.6731702,2.720032618038274e-24
MANBA,1.4895685,3.1923461669754535e-24
STK33,3.5574582,3.3463567814579645e-24
UBE2Q2P1,2.9310377,3.5998656484410876e-24
ARHGEF2,2.5361714,3.947149739510046e-24
TOGARAM1,1.7861081,4.0248368108869024e-24
GNAS,0.5390081,4.2377239724925196e-24
GLG1,0.7556511,4.449874600965308e-24
ZBTB8A,5.840524,5.373979629071378e-24
ESYT2,0.6353611,5.4380873280680565e-24
ATXN3,1.5521505,5.966801420242792e-24
SPINT2,2.4199533,6.063949231485626e-24
NDUFAF6,1.5846155,9.034786835255427e-24
ASH1L,0.64028436,9.689216556575424e-24
SLC9A7,3.4297287,1.305647950302676e-23
EEPD1,4.2303867,1.327292974170835e-23
TXLNGY,1.0417163,1.428555342250722e-23
ARFGEF1,0.7544074,1.4956289077611994e-23
PRDX1,1.3437661,2.037150675833977e-23
PACSIN2,1.5774399,2.0838327937732278e-23
ERC1,0.9178318,2.4178321140730087e-23
SEC63,1.0554742,2.60446542041098e-23
TARBP1,1.6229026,3.017992340501904e-23
NOTCH1,2.2432523,3.512709323376202e-23
HHEX,6.6402144,3.5942552926864134e-23
MAP4K5,1.1111511,3.63204743584557e-23
ZNF91,1.3075037,4.200043320842827e-23
KMT2A,0.8415181,4.6862785525916733e-23
RBM4,0.97911686,4.8179586395759725e-23
IGFBP7,5.420497,5.0254405524606565e-23
KRT1,6.0920215,6.970405670086532e-23
RHOBTB1,8.018658,6.978710015810467e-23
CD34,6.990104,7.304383038219998e-23
KANSL1,0.59183687,7.947548423223423e-23
FMNL1-DT,1.5888516,8.251826398037742e-23
DCTN4,0.96314067,9.706244330040746e-23
NOL4L,1.8134897,1.0905016947995764e-22
TNS3,4.9682302,1.537968730912078e-22
NIN,0.8621195,1.6457133106760522e-22
ORAI2,2.4196289,1.7470102166753938e-22
SHQ1,2.2383373,1.7637207441636937e-22
NETO1,6.2184544,2.315537125074144e-22
PHB1,2.2805858,2.416136538804311e-22
CD3D,0.50555235,2.6893709898161936e-22
DNTT,7.3681083,2.963777573813954e-22
STK3,2.87892,3.1020066374656987e-22
CD164,0.99686605,3.6925284207052377e-22
CCDC18-AS1,1.0551732,3.70346828645377e-22
DEPTOR,4.8626113,3.8100090483161184e-22
ZFHX3,4.1064014,5.749389524593678e-22
ITM2A,0.83492064,6.108449879993259e-22
CCND3,0.6800275,7.988543619054665e-22
PIK3C2B,2.6116695,9.856261844096722e-22
ADNP,0.9075463,1.0338607806742718e-21
TBL1XR1,0.77842766,1.0474562220158262e-21
ZNF207,0.7413517,1.0655895261298492e-21
TIMM13,1.574146,1.0886867167654843e-21
LINC01374,6.1218996,2.0325321291374478e-21
C12orf75,1.0079242,2.6271928256120664e-21
TSPAN5,1.1785864,3.4138633486942595e-21
SLC4A8,3.824028,3.5960758986529154e-21
RAB1A,0.79992783,3.873392382122295e-21
ST6GAL1,1.0574628,4.2848061799469034e-21
ARID4A,1.0571287,4.596986909491524e-21
CEP112,3.975614,4.897660850484788e-21
KIAA1958,2.5327888,4.998358979607395e-21
PPM1H,6.7280965,6.1172827866626106e-21
YWHAG,1.4002935,6.50621513741567e-21
HEATR5B,1.4971248,6.865572228576473e-21
PHACTR1,4.2360287,7.257035256235082e-21
SMARCA4,1.2926443,7.318438291643421e-21
CDK19,1.379809,7.498329645346576e-21
HMBOX1,1.3039408,7.942147996323482e-21
MYO9A,1.101179,8.004728304495382e-21
HCG17,2.2329564,9.04790431598666e-21
PTMA,0.24221624,9.591508030285693e-21
RASSF1,1.3982238,1.0996848546212973e-20
SFPQ,0.5588957,1.1001295668753522e-20
ZDHHC20,0.6990564,1.1210740062548171e-20
PHLPP1,1.8647635,1.2397554622866086e-20
MBD5,0.70322657,1.4464886403398157e-20
SERINC5,0.67084485,1.5828640125884743e-20
KIF5B,0.96733886,1.7091430433825533e-20
NUMB,1.2331295,1.9348102643396742e-20
PCMTD1,0.94923854,2.9093642582201963e-20
TALDO1,1.5072272,3.247440609618237e-20
MTF2,1.0670837,3.5123794048015494e-20
RFX7,0.8603444,3.727318730414367e-20
MBTD1,1.2376441,3.735858107111356e-20
PUM1,0.7061182,3.956146308994274e-20
BCR,1.2914265,4.046389162820957e-20
CALM2,0.7546711,4.236844091307509e-20
MTHFD2L,1.9270034,5.919045958653762e-20
CUL5,0.8475756,1.3621369064785566e-19
NGLY1,1.1317109,1.622422486679194e-19
PHACTR4,1.0364282,1.886777710027302e-19
CTCF,1.1258701,2.503076391278438e-19
MIDEAS,1.673582,2.6055316283420976e-19
CD300A,2.6197507,3.151097682353473e-19
CERS6,0.80832493,3.163377485942993e-19
RANBP9,0.92866695,3.2553049851610724e-19
GPD2,1.7285829,4.0218126488150046e-19
INVS,1.0789222,4.122120362954587e-19
ZNHIT6,1.4050491,4.122120362954587e-19
CASP8,0.80733967,4.501081523116696e-19
LINC01226,7.0653954,5.1468289830085065e-19
PAG1,0.62571955,6.007428054479659e-19
AGO3,0.9545106,6.007428054479659e-19
LMO4,2.0706432,6.275964350822115e-19
MEX3B,6.5729012,7.039374350160624e-19
CAPRIN1,1.2016625,7.828816254785215e-19
GPATCH2L,1.287589,8.792886348099033e-19
MAILR,2.917091,9.276144340394538e-19
MGLL,3.5333397,1.3452057459980322e-18
BMP2K,1.9376594,1.5436486404354897e-18
UVRAG,0.86811495,1.6148620264158445e-18
SLC38A2,0.61747104,1.649599806272862e-18
PTGER4,1.0217164,2.003540841995391e-18
JAKMIP2,3.2610261,2.012652585159579e-18
LATS2,2.9213822,2.0444325650600028e-18
MED13,0.7888511,2.998239854663994e-18
SREBF2,0.90503216,3.3763783622717227e-18
CYB5R4,1.306238,3.491692532074976e-18
CSTPP1,1.4927375,3.534463567413166e-18
ZNF618,4.331198,4.435565246513891e-18
SPECC1L,1.1828146,4.526610141405819e-18
BMI1,1.6759467,4.5294757832069075e-18
H2AZ1,0.82222545,4.5294757832069075e-18
NBDY,0.82703036,4.5847987879830924e-18
TAF1D,0.8567211,4.591566741929014e-18
CDK2AP1,3.0287116,4.6262229632387826e-18
ATP11A,1.2860309,5.944213588488388e-18
HNRNPD,0.56457144,6.770713335726506e-18
MAP4,1.0921118,7.053473047033991e-18
WDR48,0.9392185,7.108980687725814e-18
GRAMD4,2.795723,8.330429881747663e-18
SLC6A20,6.406571,1.0138239457146694e-17
